,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19
0,tom,hitchcock,mel,comedy,nudity,bond,stupid,sci,bruce,horror,woody,eastwood,children,romance,drama,war,oscar,animation,comedy,western
1,hanks,alfred,gibson,action,topless,james,jim,fi,willis,thriller,allen,clint,adventure,book,comedy,ii,best,disney,betamax,wayne
2,cruise,thriller,brooks,drama,notable,007,carrey,travel,campbell,slasher,erlend,western,fantasy,based,crime,world,picture,comic,clv,adventure
3,ryan,dvds,action,crime,frontal,franchise,road,time,action,betamax,dvds,spaghetti,comedy,comedy,betamax,nazis,actor,pixar,action,john
4,spielberg,classic,parody,thriller,drama,series,sandler,space,twist,franchise,comedy,police,family,drama,clv,vietnam,supporting,superhero,bd,tucson
5,meg,dvd,war,betamax,thriller,connery,trip,aliens,ending,scifi,scarlett,morricone,animals,adapted,thriller,drama,actress,animals,drama,70mm
6,action,cary,comedy,john,romance,espionage,adam,dystopia,comedy,serial,johansson,ennio,book,play,action,civil,directing,children,children,studios
7,espionage,grant,wilder,clv,comedy,assassin,comedy,science,nudity,killer,boring,leone,christmas,musical,mystery,action,afi,animated,fantasy,bd
8,romance,tumey,spoof,nudity,brief,roger,funny,star,zombies,gothic,oscar,sergio,animal,age,movie,history,cinematography,book,norm,old
9,book,video,thriller,mystery,clv,sean,parody,trek,crime,mystery,marx,dirty,dogs,coming,adventure,best,100,talking,macdonald,comedy
10,comedy,stewart,clv,dark,rear,moore,jarmusch,scifi,cult,scary,video,morgan,based,shakespeare,bd,military,bd,cartoon,wilder,300
11,movie,250,gene,robert,horror,action,quirky,fiction,bad,halloween,musicians,freeman,nostalgic,chick,forceful,oscar,drama,feature,sausage,ratings
12,multiple,imdb,tense,ending,betamax,murder,movie,future,stylized,murder,york,harry,dragon,flick,forces,TRUE,war,dreamworks,fest,drama
13,clancy,mystery,violent,black,action,killer,muppets,action,humorous,ghosts,dvd,war,movie,author,ford,wwii,robert,based,gene,hackman
14,oscar,suspense,series,movie,crime,protagonist,action,bad,topless,jason,new,cold,magic,romantic,Ã¼bergang,story,classic,action,schneider,spaghetti
